district,總件數,住宅竊盜,機車竊盜,汽車竊盜,自行車竊盜
西屯區,344,92,156,50,46
北區,331,96,148,27,60
北屯區,267,82,77,63,45
豐原區,229,57,78,66,28
東區,192,50,85,34,23
大里區,186,18,96,31,41
南區,164,35,58,22,49
西區,162,28,88,16,30
太平區,160,22,83,35,20
南屯區,150,35,50,28,37
大雅區,108,39,27,25,17
中區,105,13,65,12,15
烏日區,105,22,51,19,13
潭子區,97,27,29,25,16
龍井區,83,27,24,14,18
沙鹿區,82,3,43,30,6
神岡區,80,30,20,13,17
清水區,79,3,34,23,19
大甲區,73,5,36,21,11
霧峰區,73,7,36,19,11
梧棲區,53,4,26,16,7
大肚區,45,7,21,12,5
后里區,36,1,16,11,8
東勢區,31,8,9,10,4
外埔區,17,2,8,5,2
新社區,15,3,7,5,0
大安區,8,0,0,0,8
石岡區,6,1,1,3,1
和平區,5,1,3,1,0
